theta_accept,theta_reject,gamma,utility,mean_mcc,mean_accuracy,mean_nodes,mean_depth,mean_cr,stump_count,mean_train_ms
0.15,0.01,0.0,0.6181873216562215,0.6676556099837351,0.8296944444444444,8.6,4.25,0.3051175747558747,0,23169.01638507843
0.2,0.01,0.0,0.6181873216562215,0.6676556099837351,0.8296944444444444,8.6,4.25,0.3051175747558747,0,21861.285650730133
0.25,0.01,0.0,0.6181873216562215,0.6676556099837351,0.8296944444444444,8.6,4.25,0.3051175747558747,0,21217.437410354614
0.3,0.01,0.0,0.6181873216562215,0.6676556099837351,0.8296944444444444,8.6,4.25,0.3051175747558747,0,20112.102377414703
0.35,0.01,0.0,0.6181873216562215,0.6676556099837351,0.8296944444444444,8.6,4.25,0.3051175747558747,0,21754.68282699585
0.4,0.01,0.0,0.6181873216562215,0.6676556099837351,0.8296944444444444,8.6,4.25,0.3051175747558747,0,19892.62784719467
0.25,0.03,0.0,0.6025227186209883,0.6482016549631628,0.8134239766081872,6.1,3.3,0.24209712156781546,0,18072.45227098465
0.4,0.03,0.0,0.6025227186209883,0.6482016549631628,0.8134239766081872,6.1,3.3,0.24209712156781546,0,17313.636803627014
0.35,0.03,0.0,0.6025227186209883,0.6482016549631628,0.8134239766081872,6.1,3.3,0.24209712156781546,0,17263.818752765656
0.15,0.03,0.0,0.6025227186209883,0.6482016549631628,0.8134239766081872,6.1,3.3,0.24209712156781546,0,18155.852377414703
